GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone
438790922,20150605,SABAH,PUPIL,4,10,1,-1.00671140939598
601554361,20161122,MALAYSIA,INDONESIA,4,4,1,-2.4822695035461
601554363,20161122,MALAYSIA,SURABAYA,4,6,1,-2.4822695035461
593455501,20161028,UNIVERSITY,POLICE,4,6,1,-10.6145251396648
593456560,20161028,SINGAPORE,POLICE,4,4,1,-10.6145251396648
593687214,20161028,SINGAPORE,SCIENTIST,4,5,1,-5.76
458935690,20150819,THAILAND,HINDU,4,4,1,-7.66129032258062
497376556,20151226,HOSPITAL,SINGAPORE,4,2,1,-6.46551724137931
633815570,20170305,LANDLORD,JAPANESE,4,6,1,-9.91735537190083
588117695,20161012,SCHOOL,PRINCE,4,10,1,0.467289719626161
481696771,20151104,SINGAPORE,BUSINESS,4,2,1,-9.0032154340836
580427838,20160919,SHANGHAI,TELEVISION,4,10,1,-6.9620253164557
484133607,20151112,SINGAPORE,DEFENCE FORCE,4,10,1,-7.72357723577235
488248736,20151125,POLICE,ASSAILANT,4,10,1,-11.5044247787611
541691883,20160518,VIETNAMESE,POLICE,4,4,1,-4.78395061728395
487187730,20151120,SINGAPORE,ARMY,4,6,1,-5.37634408602151
631974059,20170228,SINGAPORE,GANG,4,4,1,-11.7886178861788
473719593,20151007,POLICE,SINGAPORE,4,5,1,-1.23839009287925
474265305,20151007,SINGAPORE,SINGAPORE,4,3,1,-1.79948586118252
623713204,20170203,SAN FRANCISCO,SINGAPORE,4,6,1,-0.95238095238096
623720153,20170203,SAN FRANCISCO,MALAYSIA,4,10,1,0.25445292620866
623730486,20170203,SAN FRANCISCO,SINGAPORE,4,2,1,2.00501253132832
624312965,20170205,SAN FRANCISCO,SINGAPORE,4,20,1,-0.226244343891405
624450784,20170205,SINGAPORE,SINGAPORE,4,10,1,-4.74516695957821
624467219,20170205,STAFF MEMBER,SINGAPORE,4,10,1,-5.77689243027889
446858487,20150707,SINGAPORE,SCIENTIST,4,1,1,-1.85922974767596
530762766,20160415,MINDANAO,PHILIPPINE,4,4,1,-2.87569573283859
627219811,20170213,SINGAPORE,POLICE,4,2,1,-2.52427184466019
598907247,20161114,TAIPEI,BUSINESS,4,4,1,0.0
523587270,20160323,SINGAPORE,CONGRESS,4,10,1,1.13122171945702
605311900,20161205,COMPANY,WORKER,4,10,1,-5.54089709762533
606112614,20161207,POLICE,SINGAPORE,4,5,1,-8.52272727272727
476722799,20151016,JAIN,COMPANY,4,4,1,1.19695321001088
499034850,20160103,SINGAPORE,DOCTOR,4,10,1,-5.13219284603422
434286796,20150519,PAKISTAN,INDONESIA,4,5,1,-6.16740088105727
635086411,20170309,ASEAN COUNTRIES,SINGAPORE,4,2,1,-0.17182130584192
699148402,20161019,NEIGHBORHOOD,SINGAPORE,4,4,1,-4.65116279069768
453447191,20150729,ISLAM,COMPANY,4,10,1,-5.33088235294118
476723355,20151016,SINGAPORE,COMPANY,4,2,1,1.19695321001088
433648545,20150515,NURSE,SINGAPORE,4,2,1,-3.00751879699248
575606997,20160903,MALAYSIA,SINGAPORE,4,2,1,-6.54545454545454
575637637,20160904,HOSPITAL,SINGAPORE,4,2,1,-6.83111954459203
575637879,20160904,MALAYSIA,SINGAPORE,4,2,1,-6.83111954459203
575834443,20160904,SINGAPORE,SINGAPORE,4,10,1,-3.29670329670329
576401943,20160906,RIAU,SINGAPOREAN,4,5,1,-4.21940928270042
576476846,20160906,NAGOYA,SINGAPORE,4,2,1,-6.84410646387833
