GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
693489630,20170928,HAFIZ SAEED,,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.punjabkesari.in/international/news/pakistan-says--hafiz-and-haqqani-were---darling---of-the-white-house-683481
693897734,20170929,MUSLIM,UTTAR PRADESH,MOS,,3,1,28.85,78.2333,"Gajraula, Uttar Pradesh, India",http://www.hindustantimes.com/noida/ghaziabad-braces-for-an-eco-friendly-dussehra/story-0iCdUKcuYJgqay9ZCoOH7J.html
693905569,20170929,HAFIZ SAEED,UNITED STATES,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.jagran.com/world/pakistan-pakistan-seeks-to-ban-party-backed-by-hafiz-saeed-16788547.html
693905568,20170929,HAFIZ SAEED,UNITED STATES,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.jagran.com/world/pakistan-pakistan-seeks-to-ban-party-backed-by-hafiz-saeed-16788547.html
693897729,20170929,MUSLIM,,MOS,,4,1,28.85,78.2333,"Gajraula, Uttar Pradesh, India",http://www.hindustantimes.com/noida/ghaziabad-braces-for-an-eco-friendly-dussehra/story-0iCdUKcuYJgqay9ZCoOH7J.html
693836786,20170929,ISLAMIC,ISLAMIC,MOS,MOS,10,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.ucanews.com/news/freed-salesian-priest-arrives-in-india/80389
693895143,20170929,LASHKAR E TAIBA,MUMBAI,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.punjabkesari.in/international/news/pakistan-government-against-hafiz-saeed-asks-ec-to-rejects-party-684193
693897735,20170929,MUSLIM,UTTAR PRADESH,MOS,,1,1,28.6667,77.4333,"Ghaziabad, Uttar Pradesh, India",http://www.hindustantimes.com/noida/ghaziabad-braces-for-an-eco-friendly-dussehra/story-0iCdUKcuYJgqay9ZCoOH7J.html
694134110,20170930,HAFIZ SAEED,MUMBAI,MOS,,6,1,18.975,72.8258,"Mumbai, Maharashtra, India",https://khabar.ndtv.com/news/world/hafiz-saeed-slaps-rs-10-crore-defamation-notice-on-khawaja-asif-1757177
694008133,20170930,MUSLIM,MYANMAR,MOS,,8,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",https://www.nayaindia.com/infocus/rohingya-muslim-crisis.html
694070136,20170930,HAFIZ SAEED,,MOS,,4,1,18.975,72.8258,"Mumbai, Maharashtra, India",HTTPS://hindi.news18.com/news/world/pakistan-will-ban-hafiz-saeeds-party-1123783.html
694070137,20170930,HAFIZ SAEED,MUMBAI,MOS,,6,1,18.975,72.8258,"Mumbai, Maharashtra, India",HTTPS://hindi.news18.com/news/world/pakistan-will-ban-hafiz-saeeds-party-1123783.html
694339092,20171002,ISLAMIC,HINDU,MOS,HIN,1,1,28.6,77.2,"New Delhi, Delhi, India",http://www.mysanantonio.com/news/article/In-India-falling-for-fake-news-proves-costly-12245260.php
694339089,20171002,MUSLIM,MEDIA,MOS,,1,1,28.6,77.2,"New Delhi, Delhi, India",http://www.mysanantonio.com/news/article/In-India-falling-for-fake-news-proves-costly-12245260.php
694339088,20171002,MUSLIM,HINDU,MOS,HIN,1,1,28.6,77.2,"New Delhi, Delhi, India",http://www.mysanantonio.com/news/article/In-India-falling-for-fake-news-proves-costly-12245260.php
694451561,20171002,ISLAMIC,MEDIA,MOS,,1,1,28.6,77.2,"New Delhi, Delhi, India",http://www.msn.com/en-gb/news/world/india%E2%80%99s-millions-of-new-internet-users-are-falling-for-fake-news-%E2%80%94-sometimes-with-deadly-consequences/ar-AAsMtIS
694350830,20171002,SHIA,,MOS,,2,1,22.4667,70.0667,"Jamnagar, Gujarat, India",http://www.nobat.com/news_detail.php?news_id=e973b1633531353539
694471692,20171002,MUSLIM,,MOS,,4,1,28.6,77.2,"New Delhi, Delhi, India",http://www.india.com/hindi-news/india-hindi/tarun-vijay-concern-about-hindu-refugees-conditions-in-cox-bazar/
694350827,20171002,SHIA,,MOS,,8,1,22.4667,70.0667,"Jamnagar, Gujarat, India",http://www.nobat.com/news_detail.php?news_id=e973b1633531353539
694350828,20171002,SHIA,,MOS,,10,1,21.1167,73.4,"Vyara, Gujarat, India",http://www.nobat.com/news_detail.php?news_id=acffd8b33531353730
694440747,20171002,ISLAMIC,,MOS,,10,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",https://www.nayaindia.com/world-news-in-hindi/france-islamic-state-marseille-attack-site-responsibility.html
694339093,20171002,ISLAMIC,MEDIA,MOS,,1,1,28.6,77.2,"New Delhi, Delhi, India",http://www.mysanantonio.com/news/article/In-India-falling-for-fake-news-proves-costly-12245260.php
694711423,20171003,ISLAMIC,ISLAMIC,MOS,MOS,10,1,28.6667,77.2167,"Delhi, Delhi, India",https://www.ucanews.com/news/freed-salesian-priest-arrives-in-india/80389
695148481,20171004,AL QAEDA,SYRIA,MOS,,4,1,28.6,77.2,"New Delhi, Delhi, India",http://www.prabhasakshi.com/news/national/shocked-by-affidavit-filed-by-bar-association/32917.html
