GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
575582467,20160903,CHRISTIAN,ISLAMIC,CHR,MOS,3,1,52.8333,-3.91667,"Gwynedd, Gwynedd, United Kingdom",https://wn.com/isis_capital_discovered_in_europe
576121783,20160905,RASHTRIYA SWAYAMSEVAK SANGH,WORKER,HIN,,8,1,54.0,-2.0,United Kingdom,http://www.newsnow.in/news/murder-finger-at-booze-kin
576853421,20160907,CHRISTIAN,,CHR,,10,1,55.8333,-4.25,"Glasgow, Glasgow City, United Kingdom",http://www.christianpost.com/news/isis-bans-the-burka-after-veiled-women-are-seen-as-security-risk-168867/
577536486,20160909,PROTESTANT,UNITED KINGDOM,CHR,,6,1,54.35,-6.66667,"Armagh, Armagh, United Kingdom",http://www.dailymail.co.uk/news/article-3782078/Palm-print-vehicle-used-1976-Kingsmill-massacre-belongs-suspect-arrested-month.html
577536484,20160909,PROTESTANT,,CHR,,4,1,54.35,-6.66667,"Armagh, Armagh, United Kingdom",http://www.dailymail.co.uk/news/article-3782078/Palm-print-vehicle-used-1976-Kingsmill-massacre-belongs-suspect-arrested-month.html
578234009,20160912,PROTESTANT,UNITED KINGDOM,CHR,,1,1,54.35,-6.66667,"Armagh, Armagh, United Kingdom",http://www.breakingnews.ie/ireland/lawyers-call-for-top-secret-material-to-be-released-to-kingsmill-massacre-inquiry-754266.html
578234008,20160912,PROTESTANT,UNITED KINGDOM,CHR,,5,1,54.35,-6.66667,"Armagh, Armagh, United Kingdom",http://www.breakingnews.ie/ireland/lawyers-call-for-top-secret-material-to-be-released-to-kingsmill-massacre-inquiry-754266.html
578234005,20160912,PROTESTANT,,CHR,,1,1,54.35,-6.66667,"Armagh, Armagh, United Kingdom",http://www.breakingnews.ie/ireland/lawyers-call-for-top-secret-material-to-be-released-to-kingsmill-massacre-inquiry-754266.html
578234004,20160912,PROTESTANT,,CHR,,3,1,54.35,-6.66667,"Armagh, Armagh, United Kingdom",http://www.breakingnews.ie/ireland/lawyers-call-for-top-secret-material-to-be-released-to-kingsmill-massacre-inquiry-754266.html
578553715,20160913,JEWISH,,JEW,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://theartnewspaper.com/market/auctions/object-lessons-from-a-chinese-emperor-s-handscroll-to-a-bronze-saint/
582336347,20160924,SIKH,BRITAIN,SIK,,4,1,54.6861,-1.2125,"Hartlepool, Hartlepool, United Kingdom",https://wn.com/jeremy_corbyn_re-elected_labour_leader
582336348,20160924,SIKH,BRITAIN,SIK,,8,1,54.6861,-1.2125,"Hartlepool, Hartlepool, United Kingdom",https://wn.com/Corbyn_re-elected_leader_of_UK
582336349,20160924,SIKH,BRITAIN,SIK,,18,1,51.5,-0.116667,"London, London, City of, United Kingdom",https://wn.com/jeremy_corbyn_re-elected_labour_leader
583014460,20160927,BALKAR SINGH,UNITED KINGDOM,SIK,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.dailystar.co.uk/news/latest-news/548618/Balkar-Singh-guilty-grope-woman-vagina-train
583014458,20160927,BALKAR SINGH,,SIK,,6,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.dailystar.co.uk/news/latest-news/548618/Balkar-Singh-guilty-grope-woman-vagina-train
585903771,20161005,SIKH,UNITED KINGDOM,SIK,,2,1,55.8333,-4.25,"Glasgow, Glasgow City, United Kingdom",http://www.hindustantimes.com/world-news/historic-justice-for-sikh-man-murdered-in-scotland-in-1998/story-huDG0G75Ib7sLmmuhCAC6J.html
585903774,20161005,SIKH,UNITED KINGDOM,SIK,,2,1,55.8333,-4.25,"Glasgow, Glasgow City, United Kingdom",http://www.hindustantimes.com/world-news/historic-justice-for-sikh-man-murdered-in-scotland-in-1998/story-huDG0G75Ib7sLmmuhCAC6J.html
